platform,leg,config,threads,node,bw_gbps,latency_ns,implied_mlp
intel_emr,thread_sweep,wb_cxl,1,2,8.965,164.62648503299576,23.06056934876261
intel_emr,thread_sweep,wb_cxl,2,2,17.584,164.62648503299576,45.231126762815585
intel_emr,thread_sweep,wb_cxl,4,2,24.232,164.62648503299576,62.33170289561802
intel_emr,thread_sweep,wb_cxl,8,2,24.12,164.62648503299576,62.04360654681028
intel_emr,thread_sweep,wb_local,1,0,14.27,84.54594335225794,18.851103306823763
intel_emr,thread_sweep,wb_local,2,0,28.726,84.54594335225794,37.94791826151503
intel_emr,thread_sweep,wb_local,4,0,56.717,84.54594335225794,74.92487920484398
intel_emr,thread_sweep,wb_local,8,0,107.45400000000002,84.54594335225794,141.94999682771135
intel_emr,thread_sweep,wc_cxl,1,2,6.378,164.62648503299576,16.406058149069484
intel_emr,thread_sweep,wc_cxl,2,2,12.995999999999999,164.62648503299576,33.429465617012696
intel_emr,thread_sweep,wc_cxl,4,2,23.22,164.62648503299576,59.72854660103378
intel_emr,thread_sweep,wc_cxl,8,2,24.171,164.62648503299576,62.17479327707095
intel_emr,thread_sweep,wc_local,1,0,10.934,84.54594335225794,14.444146009587318
intel_emr,thread_sweep,wc_local,2,0,22.051000000000002,84.54594335225794,29.130040575947504
intel_emr,thread_sweep,wc_local,4,0,43.949,84.54594335225794,58.0579635060685
intel_emr,thread_sweep,wc_local,8,0,84.504,84.54594335225794,111.63234995373759
intel_emr,thread_sweep,wb_cxl,1,2,8.91,164.62648503299576,22.91909346318738
intel_emr,thread_sweep,wb_cxl,2,2,17.229,164.62648503299576,44.31796422864819
intel_emr,thread_sweep,wb_cxl,4,2,23.929,164.62648503299576,61.552299380539935
intel_emr,thread_sweep,wb_cxl,8,2,24.241999999999997,164.62648503299576,62.357425783904425
intel_emr,thread_sweep,wb_local,1,0,14.239,84.54594335225794,18.810151365512514
intel_emr,thread_sweep,wb_local,2,0,28.541,84.54594335225794,37.70352764401241
intel_emr,thread_sweep,wb_local,4,0,56.566,84.54594335225794,74.72540361974723
intel_emr,thread_sweep,wb_local,8,0,107.43500000000002,84.54594335225794,141.92489725077863
intel_emr,thread_sweep,wc_cxl,1,2,6.383,164.62648503299576,16.41891959321269
intel_emr,thread_sweep,wc_cxl,2,2,12.981,164.62648503299576,33.390881284583095
intel_emr,thread_sweep,wc_cxl,4,2,23.229999999999997,164.62648503299576,59.75426948932017
intel_emr,thread_sweep,wc_cxl,8,2,24.248,164.62648503299576,62.37285951687627
intel_emr,thread_sweep,wc_local,1,0,10.931,84.54594335225794,14.440182918492681
intel_emr,thread_sweep,wc_local,2,0,22.194,84.54594335225794,29.3189479181252
intel_emr,thread_sweep,wc_local,4,0,43.919,84.54594335225794,58.01833259512213
intel_emr,thread_sweep,wc_local,8,0,84.473,84.54594335225794,111.59139801242632
intel_emr,thread_sweep,wb_cxl,1,2,8.924,164.62648503299576,22.955105506788346
intel_emr,thread_sweep,wb_cxl,2,2,17.389000000000003,164.62648503299576,44.729530441230686
intel_emr,thread_sweep,wb_cxl,4,2,24.078000000000003,164.62648503299576,61.93557041600739
intel_emr,thread_sweep,wb_cxl,8,2,24.242000000000004,164.62648503299576,62.35742578390444
intel_emr,thread_sweep,wb_local,1,0,14.232,84.54594335225794,18.80090415295836
intel_emr,thread_sweep,wb_local,2,0,28.765,84.54594335225794,37.99943844574531
intel_emr,thread_sweep,wb_local,4,0,56.626000000000005,84.54594335225794,74.80466544163998
intel_emr,thread_sweep,wb_local,8,0,107.382,84.54594335225794,141.85488264144004
intel_emr,thread_sweep,wc_cxl,1,2,6.378,164.62648503299576,16.406058149069484
intel_emr,thread_sweep,wc_cxl,2,2,12.876999999999999,164.62648503299576,33.12336324640447
intel_emr,thread_sweep,wc_cxl,4,2,23.231,164.62648503299576,59.756841778148825
intel_emr,thread_sweep,wc_cxl,8,2,24.235,164.62648503299576,62.339419762103944
intel_emr,thread_sweep,wc_local,1,0,10.92,84.54594335225794,14.425651584479011
